姓名,性別,角色,學院,魔杖,血液狀況,技能
加里克·奧利凡德,男性,魔杖製造者,拉文克勞,"12⁄4"" 角樹龍心弦",混血,對魔杖無與倫比的理解
愛哭鬼麥朵,女性,學生,拉文克勞,未知,麻瓜出身,
瑪麗埃塔·埃奇庫姆,女性,學生,拉文克勞,未知,純血或混血,掩蓋背叛鄧不利多軍後臉上的斑點
特里·布特,男性,學生,拉文克勞,未知,純血或混血,魔藥，也了解咒語
安東尼·戈德斯坦,男性,學生,拉文克勞,未知,混血,長官
西弗勒斯‧石內卜,男性,魔藥教授 |史萊哲林學院院長,史萊哲林,未知,混血,非常擅長魔藥和大腦封閉術
跩哥·馬份,男性,哈利波特的仇人|學生,史萊哲林,10寸山楂獨角獸毛,純血統,級長、探索者
文森特·克拉布,男性,學生,史萊哲林,未知,純血統,打手
格雷戈里高爾,男性,學生,史萊哲林,未知,純血統,打手
貝拉特里克斯·萊斯特蘭奇,女性,,史萊哲林,"12⁄4"" 胡桃木龍心弦",純血統,她是一位技巧高超的決鬥者，也是一位經驗豐富的大腦封閉術士
多洛雷斯·簡·烏姆里奇,女性,黑魔法防禦術教授 |魔法執法司,史萊哲林,8寸樺木龍心弦,混血,她的懲罰羽毛筆是她自己發明的
霍拉斯·尤金·弗拉庫斯·斯拉格霍恩,,魔藥教授,史萊哲林,"10¼"" 雪松龍心弦相當柔韌",純血或混血,優秀的大腦封閉術、藥劑師專家、高階自我變形術
魯休斯·馬份,男性,跩哥·馬份的父親,史萊哲林,榆木龍心弦,純血統,熟練的決鬥者和藥劑師
水仙·馬份,女性,,史萊哲林,未知,純血統,
潘西·帕金森,女性,學生,史萊哲林,未知,純血或混血,長官
布萊斯·扎比尼,男性,學生,史萊哲林,未知,純血或混血,追擊者
湯姆·瑞斗,男性,佛地魔的本名|學生,史萊哲林,"13½"" 紅豆杉鳳凰羽芯",混血,黑魔王、傑出操控、蛇佬腔、史萊哲林繼承人、黑魔法、陰屍創造與控制
西奧多·諾特,男性,學生,史萊哲林,未知,純血統,
羅道夫斯·萊斯特蘭奇,男性,,史萊哲林,未知,純血統,
米利森特·布爾斯特羅德,女性,學生,史萊哲林,未知,混血,
格雷厄姆·蒙塔古,男性,學生,史萊哲林,未知,純血或混血,魁地奇隊長、追球手
血腥男爵,男性,史萊哲林學院幽靈,史萊哲林,未知,純血或混血,控制皮皮鬼
馬庫斯·弗林特,男性,學生,史萊哲林,未知,純血或混血,追球手、隊長
佩內洛普·克利爾沃特,女性,學生,拉文克勞,未知,麻瓜出身或混血[,長官
羅傑戴維斯,男性,學生,拉文克勞,未知,,魁地奇隊長、追球手
馬庫斯·貝爾比,男性,學生,拉文克勞,未知,純血或混血,
薩拉查·史萊哲林,男性,史萊哲林的創始人,史萊哲林,蛇木、蛇怪角,純血統,成就卓著的取神取念者，也是最早有記錄的蛇佬腔之一
戈德里克·葛萊分多,男性,葛萊分多創辦人,葛萊分多,未知,純血或混血,他那個時代最有成就的決鬥者
羅伊娜·雷文克勞,女性,雷文克勞的創始人,拉文克勞,未知,純血或混血,技藝精湛的女巫，以她的聰明才智而聞名
尼古拉斯·德·敏西-波平頓,男性,葛萊分多學院幽靈,葛萊分多,未知,,
卡斯伯特·賓斯,男性,魔法史教授,,未知,,如果其他人在上課的話，這些事實可能會很有趣，從而使課程變得無聊
小巴蒂·克勞奇,男性,黑魔法防禦術教授（阿拉斯托穆迪飾演）,,未知,純血或混血,熟練的藥劑師
慈善機構伯比奇,女性,麻瓜研究教授,,未知,純血或混血,教學和研究麻瓜世界
佛羅倫斯,男性,占卜學教授,,,,
阿萊克托·卡羅,女性,麻瓜研究教授,史萊哲林,未知,純血或混血,散播反麻瓜宣傳
阿米庫斯·卡羅,男性,黑魔法教授,史萊哲林,未知,純血或混血,鑽心咒
赫爾加·赫奇帕奇,女性,赫夫帕夫的創始人,赫夫帕夫,未知,純血或混血,與食物有關的魅力。許多傳統的霍格華茲食譜都是由她發明的
胖修士,男性,赫夫帕夫學院幽靈,赫夫帕夫,未知,,為農夫治痘
海倫娜·拉文克勞,女性,拉文克勞學院幽靈,拉文克勞,未知,純血或混血,
尼法朵拉·唐克斯,女性,傲羅,赫夫帕夫,未知,混血,才華洋溢的傲羅，變形馬格斯
波莫納·斯普勞特,女性,草藥學教授|赫夫帕夫學院院長,赫夫帕夫,未知,純血或混血,草藥學
牛頓·斯卡曼德,男性,神奇生物監管司野獸處員工,赫夫帕夫,未知,純血或混血,魔法動物學，梅林勳章，二級
塞德里克·迪戈里,男性,學生,赫夫帕夫,"12¼""，白蠟木，獨角獸毛",純血統,熟練的尋球手
賈斯汀·芬奇-弗萊切利,男性,學生,赫夫帕夫,未知,麻瓜出身,
撒迦利亞·史密斯,男性,學生,赫夫帕夫,未知,純血或混血,追擊者
漢娜·艾伯特,女性,學生,赫夫帕夫,未知,混血,防禦咒語，從鄧不利多軍學到
歐內斯特·麥克米倫,男性,學生,赫夫帕夫,未知,純血統,修改，當級長，搞錯了方向
蘇珊‧博恩斯,女性,學生,赫夫帕夫,未知,混血,防禦咒語，從鄧不利多軍學到
沃爾登·麥克奈爾,男性,危險生物處置委員會劊子手,史萊哲林,未知,純血或混血,與巨頭聯絡
奧古斯都·盧克伍德,男性,無法形容,史萊哲林,未知,純血或混血,為佛地魔做間諜
安東尼·多洛霍夫,男性,食死人,史萊哲林,未知,純血或混血,決鬥。與莫莉·衛斯理的兄弟和萊姆斯·盧平戰鬥並殺死了他們
科班·亞克斯利,男性,魔法執法司司長,史萊哲林,未知,純血或混血,奪魂咒、臥底工作
伊戈爾·卡卡洛夫,男性,德姆斯特朗學院校長,,未知,純血或混血,精通黑魔法
金斯萊·沙克爾,男性,傲羅 |魔法部長,,未知,純血統,技藝精湛的決鬥者和傲羅
阿拉斯托·穆迪,男性,傲羅,,未知,純血統,一位卓有成就的傲羅和出色的決鬥者，也精通非語言魔法
愛麗絲·隆巴頓,女性,傲羅,,未知,純血統,傲羅
法蘭克隆巴頓,男性,傲羅,葛萊分多,由他的兒子內維爾繼承。它在神秘事務司的戰鬥中被打破。,純血統,傲羅
魯弗斯·斯克林傑,男性,傲羅辦公室主任|魔法部長,,未知,,被高度評價為熟練的傲羅
科尼利厄斯·奧斯瓦爾德·福吉,男性,魔法部長,,未知,純血或混血,以保持士氣的名義對黑魔法的持續威脅視而不見
老巴蒂·克勞奇,男性,國際魔法合作部長,,未知,純血統,多語言，能夠對抗奪魂咒
阿莫斯·迪戈里,男性,神奇生物監理司員工[,,未知,純血或混血,為魔法生物監管司工作
迪達勒斯·迪格爾,男性,,,未知,純血或混血,一位熱心的鳳凰會志願者，也是哈利和他的親戚的樂於助人的護送者
埃爾菲亞斯·多吉,男性,威森加摩特別顧問,,未知,純血統,寫作
芙蓉伊莎貝爾·德拉庫爾,女性,在古靈閣巫師銀行兼職,布斯巴頓魔法學院,"9½""，玫瑰木，媚娃毛",四分之一媚娃,有著媚娃的血統，因此擁有她們的一些魔法力量。她也被選中參加三強爭霸賽
阿不福思·鄧不利多,男性,Hog's Head Inn 的老闆兼酒保,,未知,混血,調酒、照顧亞莉安娜
蒙頓格斯·弗萊徹,男性,巫師文物經銷商,,未知,混血[,為鳳凰會收集信息，交易被盜的大鍋，「獲得」奇怪的麻瓜汽車
斯特吉斯·波德莫爾,男性,前衛,,未知,純血或混血,執行命令的警衛職責
赫斯蒂亞瓊斯,女性,前衛,,未知,純血或混血,為騎士團執行護送任務
馬琳麥金農,女性,,,未知,,
法比安·普威特,男性,,,未知,純血統,決鬥
吉迪恩·普威特,男性,,,未知,純血統,決鬥
艾米琳·萬斯,女性,前衛,,未知,,
埃德加·博恩斯,男性,,赫夫帕夫,未知,純血或混血,據說是一位偉大的巫師
多卡斯·梅多斯,女性,,,未知,,
班吉·芬威克,男性,,,未知,,
奧林普‧馬克西姆夫人,女性,布斯巴頓魔法學院院長,布斯巴頓魔法學院,未知,半人（半巨人）,用鄧不利多本人的話來說，他是一位“出色的舞者”
加布里埃爾·德拉庫爾,女性,,布斯巴頓魔法學院,未知,四分之一媚娃,部分是媚娃，因此可能擁有她們的一些魔法力量
維克多·克魯姆,男性,保加利亞魁地奇國家隊找球手,德姆斯特朗學院,"10¼""，角樹，龍心弦",純血或混血,世界上最好的找球手之一
佩妮‧德思禮,女性,利利·詹姆士的妹妹|哈利波特的阿姨,,,麻瓜,
弗農‧德思禮,男性,佩妮·德思禮的老公,,,麻瓜,閒聊客戶，假裝魔法不存在
達德利·德思禮,男性,佩妮和弗農的兒子,,,麻瓜,
瑪姬·德思禮,女性,狗飼養員,,,麻瓜,飼養鬥牛犬
丹尼斯·克里維,男性,學生,葛萊分多,未知,麻瓜出身,
阿不思·西弗勒斯·波特,男性,學生,史萊哲林,未知,混血,
天蠍座海伯利安馬爾福,男性,學生,史萊哲林,未知,純血統,
愛德華·萊姆斯·盧平,男性,學生,赫夫帕夫,未知,混血,
詹姆斯·天狼星·波特,男性,學生,葛萊分多,未知,混血,
羅絲·格蘭傑-衛斯理,女性,學生,葛萊分多,未知,混血,追擊者
阿格斯·費爾奇,男性,霍格華茲的看門人,,,啞炮,嗅出惡作劇
帕皮·龐弗雷,女性,霍格華茲學校的護士長,,未知,純血或混血,熟練的醫療師
羅蘭達霍奇,女性,霍格華茲飛行教練,,未知,,魁地奇比賽教學、飛行與裁判
伊爾瑪·平斯,女性,霍格華茲圖書館員,,未知,,
奧羅拉·辛尼斯特拉,女性,霍格華茲天文學家,,未知,純血或混血,
塞蒂瑪向量,女性,霍格華茲算術教授,,未知,,
威廉敏娜·格拉布利-普蘭克,女性,霍格華茲魔法生物保護課程代理教授,,未知,,
蓋勒特·格林德沃,男性,革命領袖（約1920年代[6] – 1945）,,"15""，長老，夜騏尾毛芯",純血或混血,決鬥
多比,男性,馬份家族的家養小精靈（？ - 1993年），霍格華茲廚房工人（1994年12月 - 1998年）,,,,一種家養小精靈特有的魔法，無需魔杖即可施展，包括幻影顯形、繳械和使物體懸浮的能力
克利徹,男性,布萊克家族的家養小精靈（？-1996）、哈利波特的家養小精靈、霍格華茲的廚房工人,,,,無需魔杖即可施展的魔法，包括幻影顯形、解除武裝和使物體懸浮的能力
