Character,Sentence
妙麗,你沒看到它站在什麼上面嗎？
妙麗,它站在活板門上。
妙麗,這意味著它不是偶然出現的。
妙麗,它在守護著什麼東西。
奧利佛,這個叫鬼飛球。
奧利佛,守門員，就是我，負責防守籃框。
奧利佛,到目前為止和我在一起嗎？
奧利佛,小心點，它又回來了。
哈利,那是什麼？
奧利佛,但你是個找球手。
奧利佛,啊，你現在喜歡了。
奧利佛,速度太快了，幾乎無法看見。
奧利佛,你抓住了這個，波特，我們就贏了。
弗立維,巫師最基本的技能之一是懸浮，使物體飛起來的能力。
弗立維,現在，呃，別忘了我們一直在練習的手腕動作，嗯？
弗立維,那你走吧。
妙麗,而且，你說錯了。
弗立維,哦，幹得好！
弗立維,大家看這裡！
弗立維,哦，太棒了！
哈利,我想我們這裡還需要一根羽毛，教授。
羅恩,是萊維奧薩，不是萊維薩。
奇洛,我想你應該知道。
鄧不利多,現在，級長們將把他們的家人帶回宿舍。
鄧不利多,老師們會跟著我去地牢。
哈利,什麼都行！
妙麗,揮舞吧！
妙麗,它……死了嗎？
妙麗,這是我的錯，麥教授。
麥格,不管怎樣……這是一件極其愚蠢的事。
麥格,我以為你會表現得更理性，但我對你感到非常失望，格蘭傑女士。
麥格,至於你們兩位先生，我只希望你們意識到你們是多麼幸運。
麥格,沒有多少一年級學生能夠與成年山地巨魔較量並活著講述這個故事。
哈利,你真好，讓我們擺脫了這樣的麻煩。
哈利,請注意，如果你沒有侮辱她，她可能不需要拯救。
石內卜,祝你今天好運，波特。
石內卜,話又說回來，既然你已經證明了自己能對抗巨魔，那麼打一場魁地奇比賽對你來說應該是輕而易舉的事……即使是對陣史萊哲林。
哈利,我在古靈閣的那天，海格從金庫裡拿出了一些東西。
妙麗,所以你是說…
哈利,這就是石內卜想要的。
弗林特,站那一邊！
妙麗,交給我吧。
海格,那是絕密。
哈利,但是海格，不管毛毛在守護什麼，跩哥卻想偷走它！
海格,我不該這麼說。
妙麗,這太野蠻了！
妙麗,看你還沒有。
哈利,你父親去世前把這個留給了我。
哈利,沒有名字。
費爾奇,誰在那兒？！
費爾奇,我知道你在裡面。
石內卜,你不想讓我成為你的敵人，奇洛。
石內卜,你完全明白我的意思。
石內卜,當你有時間決定你的忠誠所在。
哈利,你看到他們了，不是嗎？
羅恩,那面鏡子有些不對勁。
鄧不利多,我看到你和你之前的許多人一樣，已經發現了厄里斯魔鏡的樂趣。
鄧不利多,世界上最幸福的人照鏡子時只能看到自己，一模一樣。
鄧不利多,是……又不是。
鄧不利多,它向我們展示的正是我們內心最深處、最絕望的渴望。
鄧不利多,現在你，從來不認識你的家人，你看到他們站在你身邊。
鄧不利多,這面鏡子既不給我們知識，也不給我們真理。
鄧不利多,人類在它面前已經衰弱了，甚至發瘋了。
鄧不利多,所以明天它就要搬到新家了，我必須請你不要再去找它了。
鄧不利多,哈利，沉迷於夢想而忘記人生是不行的。
妙麗,請問，如果期末考出現這個問題，你打算怎麼辦？
妙麗,不，你不會的。
妙麗,此外，根據麥教授的說法，我們將獲得帶有反作弊咒語的特殊羽毛筆。
羅恩,你必須開始勇敢地面對人們，內維爾。
西莫,我不喜歡這種暗示，隆巴頓。
妙麗,跟我來！
奈威,那反咒呢？
妙麗,老實說，你們兩個不讀書嗎？
妙麗,「賢者之石是一種具有驚人力量的傳奇物質。
妙麗,它可以將任何金屬變成純金，並產生長生不老藥，飲用者可以永生。
妙麗,這意味著你永遠不會死。
妙麗,這就是毛毛在三樓看守的地方。
妙麗,這就是活板門底下的東西…
妙麗,當然！還有其他東西在保衛寶石，不是嗎？
海格,如果你問我的話，那真是浪費時間。
海格,除了我和鄧不利多。
哈利,呃，海格，那到底是什麼？
海格,我贏了。我在一家酒吧遇見了一個陌生人。
海格,事實上，似乎很高興擺脫它。
妙麗,那是……龍嗎？
羅恩,那不只是一條龍。
海格,他很漂亮嗎？哦。祝福他，看看。
海格,是的，好吧，他必須有個名字，不是嗎？
海格,不是嗎，諾伯特？德德德德。
海格,當然，他必須接受一些訓練。
哈利,我第一次見到他時他就這麼告訴我的。
妙麗,這樣很糟糕嗎？
麥格,我再說一遍，沒有什麼可以賦予學生晚上在學校走動的權利。
麥格,因此，作為對你行為的懲罰，將扣50分。
馬份,也許我聽錯了。
麥格,不，你沒聽錯，馬份先生。
麥格,你看，儘管你的意圖是光榮的，你也下班後就起床了。
麥格,你將和你的同學一起被拘留。
費爾奇,天哪，我想念尖叫聲。
費爾奇,他在黑暗森林裡有一件小事要做。
費爾奇,噢，天哪，老兄，你不是還在談論那條該死的龍，是嗎？
妙麗,嗯，那很好，不是嗎？
海格,是的，但是如果他不喜歡羅馬尼亞呢？
海格,畢竟他只是個嬰兒。
費爾奇,哦，看在上帝的份上，振作起來吧，老兄。
費爾奇,畢竟你要進入森林了。
馬份,我們不能進去。
海格,現在，這個人受了重傷。
海格,所以，我們的工作就是要找到這隻可憐的野獸。
馬份,你等著我父親聽到這件事。
馬份,這是僕人的東西。
哈利,如果我不知道的話，德拉科，我會說你很害怕。
馬份,你聽到了嗎？
哈利,什麼事，方？
哈利,但是你救我脫離的那件事是什麼？
佛羅倫斯,喝獨角獸的血會讓你活下去，即使你離死亡只有一吋。
費倫澤,你殺死瞭如此純潔的東西，當鮮血接觸到你的嘴唇的那一刻，你就只剩下半衰期了。
妙麗,你是說，神祕人現在就在外面的森林裡？
哈利,你沒看到嗎？我們錯了。
羅恩,但是如果他回來了，你認為他不會想殺你，對嗎？
妙麗,佛地魔一直害怕的巫師是誰？
妙麗,只要鄧不利多在，你就安全。
妙麗,只要鄧不利多在身邊，你就不能被碰觸。
妙麗,以前也發生過這樣的事。
哈利,海格最想要的是一條龍，而一個陌生人出現並且剛好擁有一條龍，你不覺得這有點奇怪嗎？
哈利,不過，那個陌生人，你和他一定已經談過了。
海格,嗯，他想知道我照顧什麼樣的生物。
麥格,恐怕鄧不利多教授不在這兒。
哈利,但這很重要！
麥格,我不知道你們三個是怎麼知道這塊石頭的，但我可以向你們保證它受到了很好的保護。
麥格,現在你要回宿捨了嗎？悄悄。
哈利,海格在村裡遇到的人並不陌生。
哈利,是石內卜，這意味著他知道如何繞過毛毛。
石內卜,現在，像你們這樣的三個年輕的葛萊分多在這樣的一天會在裡面做什麼？
石內卜,你要小心點。
石內卜,人們會認為你在搞事。
妙麗,現在我們該怎麼辦？
妙麗,你們兩個都別動。
妙麗,放鬆點！
哈利,是的，是的，我很好。
妙麗,他沒有放鬆，是嗎？
妙麗,就是這樣！惡魔網討厭陽光！
哈利,它們不是鳥，它們是鑰匙。
羅恩,嗯，值得一試。
哈利,翅膀折斷的那個！
哈利,這太簡單了。
妙麗,我一點也不喜歡這樣。
妙麗,現在我們該怎麼辦？
妙麗,現在發生什麼事了？
羅恩,好吧，白棋先走，然後……我們下棋。
妙麗,一定還有別的辦法！
妙麗,還有更重要的事。
奇洛,相信我，如果石內卜的斗篷沒有著火併打斷我的目光接觸，我就會成功。
奇洛,我從一開始就知道你是個危險。
奇洛,當其他人都跑向地牢時，他卻到三樓阻止我。
奇洛,當然，他再也沒有信任過我。
奇洛,但是我怎麼才能得到它？
奇洛,主人，你還不夠強大。
佛地魔,我有足夠的力量做到這一點。
佛地魔,獨角獸之血可以維持我的生命，但它不能給我一個屬於我自己的身體。
佛地魔,但是有一種東西可以做到。
佛地魔,有東西，就在你的口袋裡，而且很方便！
佛地魔,別傻了！
佛地魔,告訴我，哈利，你想再見到你的父母嗎？
佛地魔,只要我們齊心協力，就能把他們帶回來。
佛地魔,我所要求的只是回報。
佛地魔,沒有善惡之分。
佛地魔,只有力量，而那些弱小的人卻無法尋求它。
佛地魔,我們在一起會做出非凡的事。
佛地魔,把石頭給我吧！
鄧不利多,你和奇洛教授之間在地牢裡發生的事情是一個完全的秘密，所以，自然，整個學校都知道。
鄧不利多,啊，我看到你的朋友羅納德省去了你打開巧克力蛙的麻煩。
哈利,但是，石頭怎麼了？
鄧不利多,我和我的朋友尼可拉斯聊了一會兒，一致認為這是最好的選擇。
哈利,但是勒梅，他會死，不是嗎？
鄧不利多,他有足夠的聖水來安排他的事務。
鄧不利多,但是，是的，他會死。
哈利,我是怎麼得到寶石的，先生？
哈利,前一分鐘我還盯著鏡子，下一分鐘…
鄧不利多,這是我最絕妙的想法之一。
鄧不利多,在你我之間，這就是說的。
哈利,這是否意味著，隨著魔法石的消失，佛地魔再也不會回來了？
鄧不利多,啊，恐怕有辦法讓他回來。
鄧不利多,那是因為你的母親。
鄧不利多,她為你犧牲了自己，這種行為會留下痕跡。
鄧不利多,不，不，這種標記是看不見的。
鄧不利多,我年輕時最不幸地遇到了一種嘔吐味的，從那時起我就不再喜歡它們了。
妙麗,再好不過了。
鄧不利多,又一年過去了。
鄧不利多,現在，據我了解，學院盃需要頒獎，積分就這樣。
鄧不利多,是的，是的，幹得好，史萊哲林，幹得好，史萊哲林。
鄧不利多,最後，對抗你的敵人需要很大的勇氣，但對抗你的朋友需要更多的勇氣。
鄧不利多,假設我的計算是正確的，我相信改變方向是正確的。
海格,你以為你不辭而別就走了嗎，是嗎？
哈利,但是海格，我們不可以在霍格華茲之外施展魔法。你懂的。
妙麗,回家感覺很奇怪，不是嗎？
哈利,我不能讓你出去，海德薇。
哈利,我不可以在校外使用魔法。
哈利,此外，如果弗農姨丈…
哈利,現在你已經做到了。
佩妮,他在裡面。弗農...
哈利,但是她很無聊！
哈利,如果我只能出去一兩個小時就好了
佛農,哈，哈！這樣你就可以向你的怪異小朋友發送秘密訊息。不，先生！
哈利,但是整個夏天我都沒有收到任何朋友的消息……一個也沒有。
達德利,誰願意和你做朋友？
佛農叔叔,我們從你還是個嬰兒的時候就撫養你，給你我們桌上的食物，甚至讓你擁有達力的第二間臥室，純粹是出於我們的善良。
佩妮阿姨,在休息室裡，熱情地等待歡迎他們來到我們家。
達德利,我會等著開門！
哈利,我會待在我的臥室裡，不發出任何聲音，假裝我不存在。
佛農叔叔,太對了，你會的。
佛農叔叔,如果運氣好的話，今天很可能是我職業生涯中最重要的交易。
哈利,你是誰？
哈利,不是要無禮什麼的，但這對我來說不是在臥室裡養家小精靈的好時機。
哈利,你為什麼不坐下來？
哈利,我無意冒犯你，或別的什麼。
多比,多比聽說過您的偉大，先生，但他從來沒有像一個平等的巫師一樣被要求坐下。
哈利,那你不可能遇到很多正派的巫師。
多比,不，我沒有。
多比,這真是一件可怕的事。
哈利,多比，請停下來！
哈利,停下！停下來，多比。
哈利,請安靜！
哈利,你還好嗎？
多比,多比必須懲罰自己，先生。
多比,多比差點說他家人的壞話，先生。
多比,多比為巫師家族服務，先生。
多比,但是多比必須來。
多比,哈利波特今年絕對不能再回霍格華茲魔法學校了！
多比,有一個陰謀，一個讓最可怕的事情發生的陰謀。
哈利,什麼可怕的事？
哈利,誰在策劃他們？
多比,別讓我說話，我－－呃…
哈利,把燈給我！多比住手！
多比,放開我！
哈利,進去，保持安靜！
哈里,對不起。
哈利,是的，先生……明白我為什麼要回去了嗎？
哈利,我不屬於這裡。
哈利,我屬於你的世界，在霍格華茲。
哈利,這是我唯一有朋友的地方！
DOBBY,那些甚至不寫信給哈利波特的朋友？
哈利,嗯，我想他們已經…等一下——
哈利,你怎麼知道我的朋友沒有寫信給我？
哈利,把那些給我，現在！
哈利,多比，回來吧！
哈利,多比，拜託，不要！
哈利,我不能。霍格華茲是我的家！
多比,那麼，為了哈利波特的利益，多比必須這樣做，先生。
佛農叔叔,……它蔓延到了眼睛所能看到的最遠的地方，遍布這座巨大建築的地板，而且有這麼深。
佛農叔叔；一位水管工說,“看看那些水。”
弗農叔叔；A——第二個水管工說,“是的，這只是最重要的！”
佛農叔叔,這就是我把他留在樓上的原因！
榮恩,嗨，哈利！
哈利,你們都在這裡做什麼？
羅恩,當然是救你。
羅恩,現在，來吧。拿起你的行李箱！...
羅恩,你最好退後一點。我們走吧！
喬治,走，走，走，走！
榮恩,來吧，哈利！趕快！
哈利,啊——啊！
哈利,放開我！
哈利,下車！
喬治,對啊！
榮恩,順便說一句，哈利，生日快樂！
弗雷德,來吧。好吧，來吧。噓！
弗雷德,噓！好的，來吧。噓！快點。
羅恩,你覺得我們吃點這個可以嗎？
喬治,是的，媽媽永遠不會知道。
榮恩,雖然不大，但它就是家。
哈里,我覺得這太棒了
太太。衛斯理,你去哪裡了？
太太。衛斯理,哈利，親愛的，見到你真高興。
太太。衛斯理,床空了！沒有備註！車沒了！
太太。衛斯理,你可能會死！你可能已經被看見了！
太太。衛斯理,當然，我不怪你，親愛的哈利。
榮恩,他們讓他挨餓了，媽媽。
榮恩,他的窗戶上有柵欄！
太太。衛斯理,好吧，你最好希望我不要在你的窗戶上裝上柵欄，羅納德‧衛斯理！
太太。威斯利,來吧，哈利，該吃早餐了。
太太。衛斯理,我們是哈利。
太太。衛斯理,現在就睡覺吧！就是這樣。我們開始吧。
哈里,你好。我、我做了什麼？
太太。衛斯理,早安，亞瑟！
先生。衛斯理,多麼美好的夜晚。九次襲擊。九！
羅恩,爸爸在魔法部濫用麻瓜文物辦公室工作。
羅恩,爸爸喜歡麻瓜，認為他們很迷人。
先生。衛斯理,現在好了。啊啊！你是誰？
哈利,哦，對不起，先生。我是哈利，先生，哈利波特。
先生。威斯利,嗯，當然，榮恩已經告訴我們關於你的一切了。
先生。衛斯理,他什麼時候到這裡的？
太太。衛斯理,今天早上。昨晚，你的兒子們駕駛著你那輛神奇的汽車往返薩裡。
先生。威斯利,我的意思是……這確實是非常錯誤的，孩子們。
先生。威斯利,現在，哈利，你一定知道麻瓜的一切了。
哈利,噢，嗯…
太太。威斯利,嗯，負責這個職位的是埃羅爾。
太太。威斯利,噢，派西，請把它拿過來好嗎？
榮恩,他總是那樣做。
派西,哦，看，這是我們霍格華茲的信。
波西,他們也寄了哈利給我們的。
先生。威斯利,鄧不利多一定知道你在這裡，哈利。
先生。衛斯理,不要錯過任何一個把戲，那個人。
太太。衛斯理,哦，不。
佛瑞德,媽媽，這批貨可不便宜。
佛瑞德,光是咒語書就很貴了。
太太。衛斯理,我們會處理的。
太太。衛斯理,我們只有一個地方可以得到這一切。
太太。衛斯理,我們到了，哈利。
太太。衛斯理,你先走，親愛的。
榮恩,但是哈利以前從來沒有搭乘飛路粉旅行過，媽媽。
哈利,飛路粉？
太太。衛斯理,你先走，榮恩，這樣哈利就能看到這是怎麼做的。是的。
太太。衛斯理,你進去吧。
太太。衛斯理,就是這樣。
太太。衛斯理,別害怕。快點。
太太。衛斯理,你進去吧。就是這樣。
太太。衛斯理,是的。
太太。衛斯理,現在，拿起你的飛路粉。
太太。衛斯理,就是這樣，非常好。
太太。衛斯理,現在，別忘了說得非常非常清楚。
哈利,對角線。
太太。衛斯理,他說什麼，親愛的？
先生。衛斯理,對角線。
太太。衛斯理,我以為他做到了。
先生。博金,如果可以的話，就在今天——
盧修斯‧馬爾福,我今天不買，博金先生。
盧修斯·馬爾福,當然，你聽說魔法部正在進行更多的突襲。
盧修斯‧馬份,我家裡有一些……啊……如果魔法部打電話來的話，這些東西可能會令人尷尬。
德拉科,我可以要這個嗎？
先生。博金,啊，榮耀之手。
先生。博金,您的兒子品味很好，先生。
盧修斯·馬份,我以為你會因為一個非巫師家庭的女孩在每次考試中都擊敗你而感到羞恥。
先生。博金,一切都一樣。
先生。博金,巫師的血統在任何地方都越來越不值錢了。
盧修斯·馬爾福,不跟我一起。
女巫,你沒有迷路吧，親愛的？
哈利,我很好，謝謝你。我正要去...
海格,你覺得你在這裡做什麼？快點。
海格,你真是一團糟，哈利。
海格,不想讓任何人看到你在那裡。
海格,人們會認為你不懷好意。
哈利,我迷路了，我…
哈利,你當時在下面做什麼？
海格,我正在尋找食肉蛞蝓驅避劑。
海格,他們毀了學校所有的高麗菜。
妙麗,很高興見到你。
哈利,見到你也很高興。
妙麗,你的眼鏡怎麼了？
哈利,我絕對需要記住這一點。
海格,那你現在就沒事了，哈利？
海格,對。我就交給你了。
妙麗,好的，再見。
哈利,謝謝你。再見。
妙麗,得了吧，大家都很擔心。
太太。衛斯理,謝天謝地。
太太。衛斯理,我們本來希望你只是做得太過頭了。
太太。衛斯理,噢，他來了。
攝影師,請讓路。
攝影師,女士，讓我過去。謝謝。
攝影師,對不起，小女孩。
攝影師,這是《預言家日報》的。
洛克哈特,不可能。哈利波特？
攝影師,對不起，女士。
洛克哈特,笑容燦爛，哈利。
洛克哈特,你和我一起對頭版進行評價。
洛克哈特,女士們先生們，這是多麼非凡的時刻。
洛克哈特,今天早上，當年輕的哈利走進Flourish and Blotts購買我的自傳《神奇的我》時…
洛克哈特,他不知道他實際上會免費帶著我的全部作品集離開。
洛克哈特,現在，女士們？
太太。衛斯理,哈利，現在你把這些給我，我會讓他們簽名。
太太。衛斯理,你們都在外面等著。
太太。衛斯理,就是榮恩。
德拉科,我敢打賭你一定喜歡這個，不是嗎，波特？
德拉科,不登上頭版就不能進入書店。
金妮,別管他。
德拉科,看，波特。
德拉科,你已經有女朋友了。
盧修斯‧馬份,當然，是把它交給你的巫師。
哈利,佛地魔殺了我的父母。
哈利,他不過是個殺人犯。
妙麗,對名字的恐懼只會增加對事物本身的恐懼。
盧修斯‧馬爾福,是的，德拉科告訴了我關於你的一切。
盧修斯·馬爾福,紅頭髮，表情空洞，破舊，二手書。
先生。衛斯理,孩子們，這裡很生氣。
先生。韋斯利,我們出去吧。
盧修斯·馬爾福,好吧，好吧，好吧。衛斯理前輩。
盧修斯·馬爾福,部裡很忙，亞瑟，所有這些額外的襲擊？
盧修斯·馬爾福,我確實希望他們付給你加班費，但從目前的情況來看，我認為不會。
盧修斯‧馬份,如果他們連高薪都不給你，那麼侮辱巫師的名聲又有什麼用呢？
先生。威斯利,對於是什麼讓馬份巫師的名譽蒙羞，我們有著截然不同的看法。
盧修斯‧馬份,我以為你的家庭不會再陷下去了。
德拉科,學校見。
太太。韋斯利,火車隨時都會出發。
先生。衛斯理,佛瑞德、喬治、派西，你們先來。
太太。衛斯理,好的。
先生。衛斯理,在你之後，親愛的。
太太。威斯利,來吧，金妮，我們幫你找個座位。匆忙。
哈利,我們走吧。
火車長,你們兩個認為你們在做什麼？
哈利,手推車失去了控制。
哈利,為什麼我們過不去？
羅恩,我不知道。
羅恩,由於某種原因，網關已經自我封閉。
哈利,火車11:00 準時出發。
哈利,我們錯過了。
哈里,也許我們應該去車旁等。
羅恩,汽車。
哈利,榮恩，我應該告訴你大多數麻瓜不習慣看到飛行汽車。
羅恩,哦，不！隱形助推器肯定有故障。
